time,x,y,z
1754738014259,-2.857806,1.4217166,11.922297
1754738014418,-3.5153646,2.07688,6.7049446
1754738014583,2.0277727,3.481828,-3.4171503
1754738014742,34.361942,5.672493,-10.538908
1754738014900,34.93326,-6.4522214,12.448104
1754738015062,13.952465,-0.9330389,3.8710933
1754738015221,10.211925,2.476925,-1.1522251
1754738015388,9.139949,0.9078864,-1.621739
1754738015542,9.113598,0.18924281,-0.45274544
1754738015707,10.329304,-0.43118614,1.6313208
1754738015866,8.749485,-1.0168806,2.770371
1754738016022,8.123068,-1.7666655,2.0577161
1754738016190,7.3625035,-1.1701913,1.2336714
1754738016341,11.785754,-1.3378748,1.4648352
1754738016505,10.568851,-1.8217615,0.67552495
1754738016663,7.6463675,-1.9187783,0.22517498
1754738016825,8.172175,-1.31392,0.0071864356
1754738016990,10.434705,-1.9259647,-1.5534679
1754738017145,11.132986,-3.1608338,-3.5033875
1754738017305,9.257327,-3.2183254,-6.127634
1754738017464,9.519631,-2.8003144,-4.987386
1754738017624,10.726953,-2.1116142,-5.084403
1754738017786,9.296852,-3.0554328,-5.6988435
1754738017946,7.219972,-4.2244263,-5.1838155
1754738018106,7.08343,-4.286709,-4.801737
1754738018266,6.38395,-5.2401094,-4.640042
1754738018430,5.176629,-6.000674,-4.789759
1754738018592,4.382528,-6.5204926,-5.5886517
1754738018747,3.0422578,-7.5876784,-4.56698
1754738018908,1.9559082,-7.538571,-4.938279
1754738019067,-0.19283602,-8.520718,-4.262754
1754738019227,-1.7163603,-8.925553,-3.52854
1754738019389,-2.4278176,-8.629711,-2.1020324
1754738019546,-3.0662127,-8.43448,-4.3609686
1754738019704,-3.9070256,-7.667927,-4.39211
1754738019865,-4.8999515,-7.253509,-3.651907
1754738020027,-4.8999515,-7.7290115,-2.6841338
1754738020190,-5.8725157,-6.6726055,-3.9848785
1754738020350,-5.0867987,-8.166186,-3.596811
1754738020511,-5.0197253,-7.4128084,-3.293783
1754738020669,-5.847363,-7.290639,-2.8398397
1754738020831,-5.9599504,-6.987611,-3.358461
1754738020986,-4.984991,-7.960175,-3.1847887
1754738021147,-5.145488,-7.7290115,-3.243478
1754738021315,-5.001759,-7.970955,-3.8064153
1754738021474,-5.131115,-7.143317,-2.540405
1754738021632,-5.913239,-7.491859,-4.2543697
1754738021792,-4.6568103,-7.018752,-4.4424148
1754738021950,-5.0556574,-6.6833854,-5.618595
1754738022117,-5.256878,-6.6953626,-5.0999737
1754738022272,-4.6771717,-6.1527867,-5.173036
1754738022433,-5.294008,-5.9815097,-6.4630013
1754738022597,-4.6867537,-4.3202457,-6.274956
1754738022752,-4.919115,-5.571883,-7.4164014
1754738022913,-5.0053525,-6.798368,-3.9477487
1754738023077,-7.0391135,-6.3408318,-3.619568
1754738023234,-5.571883,-6.175544,-4.193285
1754738023397,-7.814051,-6.022233,-3.5800426
1754738023556,-8.530299,-4.7945504,-2.7967212
1754738023714,-8.5877905,-2.9883595,-2.224202
1754738023878,-9.014186,-1.8900325,-2.136767
1754738024034,-9.757982,-0.8156604,-1.9367445
1754738024199,-9.4525585,-0.7078639,-1.2576262
1754738024359,-9.686117,0.25990942,-0.94142306
1754738024515,-9.61066,1.3654227,-0.21918629
1754738024676,-9.668152,1.5486768,0.24433881
1754738024833,-9.629824,1.9654901,0.6887001
1754738024998,-9.404649,1.9966314,1.0576038
