time,x,y,z
1754737459223,7.863395,5.058462,-9.430498
1754737459383,39.57656,2.5189161,1.1378207
1754737459549,12.704395,-28.75079,-7.9754314
1754737459705,19.531916,-27.297073,-3.6090565
1754737459864,55.63061,9.850468,-0.061442852
1754737460025,10.674171,6.582698,-7.7973146
1754737460186,-1.6716309,-0.2300458,-0.43743706
1754737460347,-1.835295,-0.66069794,0.8410311
1754737460506,-1.0943363,-0.33875704,0.6175623
1754737460666,-0.111718416,-0.63893366,-0.54961395
1754737460826,0.29452944,-0.25680113,-0.56997395
1754737460986,-0.27719855,0.3506267,-0.4135275
1754737461148,-0.82912505,1.0809436,-2.343041
1754737461308,-1.6575269,-2.279892,0.023394108
1754737461469,-0.6583121,-0.48260927,0.555243
1754737461628,0.8347509,0.37629414,-1.3068738
1754737461787,0.53804445,0.16106749,-0.4653325
1754737461947,0.229846,-0.18582869,0.579813
1754737462110,-0.6167507,-0.7569976,0.7129812
1754737462277,-0.036887646,-0.41035748,0.28794122
1754737462428,-0.2425642,-0.24091196,0.40246916
1754737462588,-0.058919907,-0.05691743,0.80274534
1754737462748,0.6428356,-0.512954,1.0687661
1754737462910,0.88648844,-0.12571812,1.3465219
1754737463069,0.28039932,-0.10803652,0.50736475
1754737463229,-0.5646844,0.24714565,0.35596418
1754737463389,-0.4369799,-1.0244827,0.12698936
1754737463552,-0.306577,0.2270751,0.56115675
1754737463713,-0.4476726,-0.007980347,0.005610943
1754737463871,0.20425773,0.113336086,-0.5908041
1754737464031,0.07763076,0.23007488,-0.63534355
1754737464191,-0.26378775,0.3970642,-0.5975766
1754737464354,0.045264006,0.24430418,-1.0315509
1754737464513,0.25578904,0.76502633,-0.3923645
1754737464671,-0.2828021,0.25815535,-0.9737811
1754737464831,0.8425169,0.22977972,-1.6304846
1754737464993,2.635147,0.21082592,-1.5565348
1754737465155,-0.97865486,0.009856224,0.6687503
1754737465321,-3.407133,0.03236866,2.103704
1754737465474,-1.5825231,-0.36017418,1.2103899
1754737465633,-0.21486819,-0.7443886,-0.46149194
1754737465793,-0.04669094,0.073908806,-0.005719304
1754737465954,-1.0462353,-0.2405653,1.0408431
1754737466115,-0.8528085,0.8491144,-0.14301258
1754737466274,-0.49582672,-0.5956316,-0.19348848
1754737466434,-0.41707265,-0.33566284,0.13792682
1754737466594,-0.8823245,-0.40196705,0.045357466
