"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.281106700E-2,-4.731806815E-1,9.632308006E0,-6.879364848E-1
1.504080300E-2,-5.216353536E-1,9.641879082E0,-6.263213158E-1
1.730820600E-2,-5.455635786E-1,9.637691498E0,-6.311069727E-1
1.950784400E-2,-5.557330847E-1,9.637691498E0,-5.694918036E-1
2.174132400E-2,-5.844469070E-1,9.632905960E0,-5.222335458E-1
2.397323800E-2,-5.994020700E-1,9.613762856E0,-4.839483798E-1
2.620950500E-2,-6.095715761E-1,9.637691498E0,-4.175475538E-1
2.844510100E-2,-6.430711150E-1,9.638289452E0,-3.840480447E-1
3.068234400E-2,-6.334998012E-1,9.671191216E0,-3.601198196E-1
3.291909900E-2,-6.574280262E-1,9.680762291E0,-2.985046208E-1
3.516781700E-2,-6.723831892E-1,9.675976753E0,-2.703889608E-1
3.740445000E-2,-6.723831892E-1,9.685547829E0,-2.273181528E-1
3.964175600E-2,-6.867401004E-1,9.704689980E0,-1.890329868E-1
4.187564200E-2,-6.867401004E-1,9.738189697E0,-1.609173268E-1
4.411325200E-2,-6.771687865E-1,9.751948357E0,-1.513460279E-1
4.634903100E-2,-6.867401004E-1,9.756733894E0,-1.130608693E-1
4.858566400E-2,-6.681957245E-1,9.742377281E0,-7.477571070E-2
5.082193200E-2,-6.681957245E-1,9.741779327E0,-3.170489892E-2
5.305807600E-2,-6.777670383E-1,9.760921478E0,5.982056726E-3
5.529617400E-2,-7.076773047E-1,9.770493507E0,1.010967568E-1
5.753293000E-2,-7.124629617E-1,9.770493507E0,1.633101404E-1
5.977005100E-2,-7.220342159E-1,9.813564301E0,1.920240223E-1
6.200729500E-2,-7.363911867E-1,9.823135376E0,2.344966233E-1
6.424307400E-2,-7.357929349E-1,9.856036186E0,2.488535494E-1
6.647970700E-2,-7.316055298E-1,9.841679573E0,2.727817893E-1
6.871731700E-2,-7.220342159E-1,9.856036186E0,2.919243574E-1
7.095742900E-2,-7.076773047E-1,9.846465111E0,2.775674164E-1
7.318985100E-2,-7.130611539E-1,9.845867157E0,3.158525825E-1
7.542642300E-2,-6.885347366E-1,9.845867157E0,3.014956415E-1
7.766244700E-2,-6.646065116E-1,9.845269203E0,3.068794906E-1
7.990109400E-2,-6.454638839E-1,9.840482712E0,3.068794906E-1
8.213693400E-2,-6.454638839E-1,9.840482712E0,3.020938635E-1
8.437350600E-2,-6.406782866E-1,9.845269203E0,2.829512656E-1
8.660904000E-2,-6.119644046E-1,9.839884758E0,2.931207716E-1
8.884292700E-2,-6.023930907E-1,9.839884758E0,2.835494876E-1
9.108371100E-2,-5.778666735E-1,9.863214493E0,2.691925466E-1
9.332052700E-2,-5.443671346E-1,9.858428955E0,2.602194548E-1
9.555862600E-2,-5.204389095E-1,9.857831001E0,2.315055877E-1
9.779513700E-2,-5.204389095E-1,9.867402077E0,2.315055877E-1
1.000307330E-1,-5.012963414E-1,9.843474388E0,2.129612118E-1
1.022675490E-1,-4.624129832E-1,9.852447510E0,2.033899277E-1
1.045040600E-1,-4.384847581E-1,9.861420631E0,2.087737769E-1
1.067409380E-1,-4.342973232E-1,9.837491989E0,1.944168359E-1
1.089772660E-1,-3.906283081E-1,9.851250648E0,1.854437590E-1
1.112125560E-1,-4.049852192E-1,9.847063065E0,1.800599098E-1
1.134514480E-1,-3.762713671E-1,9.841679573E0,1.806581169E-1
1.156863110E-1,-3.762713671E-1,9.827322960E0,1.519442350E-1
1.179137280E-1,-3.810569942E-1,9.841679573E0,1.710868180E-1
1.201614090E-1,-3.816552162E-1,9.836894035E0,1.998006850E-1
1.223980420E-1,-3.912265003E-1,9.836894035E0,1.998006850E-1
1.246375440E-1,-3.912265003E-1,9.841679573E0,2.087737769E-1
1.268716140E-1,-3.912265003E-1,9.832108498E0,2.135594189E-1
1.291085520E-1,-3.912265003E-1,9.841679573E0,2.183450609E-1
1.313454910E-1,-4.151547253E-1,9.836894035E0,2.566302419E-1
1.335829790E-1,-4.157529473E-1,9.836894035E0,2.757728100E-1
1.358184520E-1,-4.109672904E-1,9.832108498E0,2.949153781E-1
1.380550860E-1,-4.019941986E-1,9.812965393E0,3.092723191E-1
