label,_data_name,_user_name,_number,x_acc_min,y_acc_min,z_acc_min,norm_acc_min,x_gyro_min,y_gyro_min,z_gyro_min,norm_gyro_min,x_acc_max,y_acc_max,z_acc_max,norm_acc_max,x_gyro_max,y_gyro_max,z_gyro_max,norm_gyro_max,x_acc_mean,y_acc_mean,z_acc_mean,norm_acc_mean,x_gyro_mean,y_gyro_mean,z_gyro_mean,norm_gyro_mean,x_acc_var,y_acc_var,z_acc_var,norm_acc_var,x_gyro_var,y_gyro_var,z_gyro_var,norm_gyro_var,x_acc_std,y_acc_std,z_acc_std,norm_acc_std,x_gyro_std,y_gyro_std,z_gyro_std,norm_gyro_std,x_acc_median,y_acc_median,z_acc_median,norm_acc_median,x_gyro_median,y_gyro_median,z_gyro_median,norm_gyro_median,x_acc_zcr,y_acc_zcr,z_acc_zcr,norm_acc_zcr,x_gyro_zcr,y_gyro_zcr,z_gyro_zcr,norm_gyro_zcr
0,20-15-17,20-15,17,-2.1609607,-9.542768,-19.17285,0.4729586687085611,-2.1135492,-6.73281,-11.730917,0.28728627320891525,38.18091,5.997781,12.303081,40.52170304097087,1.4786321,2.8820276,1.3598515,13.56420890531375,2.315628701032258,-0.21659049616129036,0.23289156121290322,4.106163741371916,-0.11671445418387097,-0.2675398912580645,-0.06976407064516131,1.6694200249498936,58.59730429999461,7.300992044131047,20.81204620075062,74.9331382616881,0.728668798679294,2.4098306413639845,5.723069185063594,6.074775743621937,7.654887608580195,2.7020347969874567,4.562022161361189,8.656392912852795,0.8536209924078098,1.5523629219238602,2.3922937079429847,2.464706015658244,0.25190592,0.06243801,0.29234484,1.4716296367955528,0.0025300803,-0.067646354,0.4178627,1.2116529891123335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20-15-17,20-15,17,-2.1609607,-1.3946471,-1.7758107,0.3216385721460175,-2.1135492,-0.76368475,-0.43277687,0.16829136619325483,4.1313534,1.9258268,1.1092956,4.277733280900111,1.4786321,1.0262804,1.3598515,2.163329299185437,0.16903687361290323,0.14948306670967743,0.16676483914838713,1.4187684135155816,-0.08238010095806451,0.00014604621290322556,0.4829790001290323,0.9883994990780133,1.6265469559654753,0.6756053125281521,0.44631293954303797,0.7498180720391213,0.662135352150187,0.11672853862552732,0.2890727412774652,0.3064956674428852,1.2753615001110372,0.8219521351807246,0.66806656819739,0.8659203612568083,0.8137169975797403,0.34165558480072783,0.5376548533003912,0.5536205085100129,0.06167555,0.019605577,0.24800998,1.230555857664632,0.01571313,-0.02769772,0.4178627,1.1200441789755484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20-15-17,20-15,17,-1.2319438,-1.3946471,-0.64136195,0.11308660641779399,-2.1135492,-0.76368475,-0.43277687,0.1631851177263937,2.382659,1.480339,1.0716277,2.460956290035044,1.4786321,0.41613162,1.3598515,2.163329299185437,0.1409382275483871,0.036385776483870945,0.25133058785806456,1.1312671189785097,-0.01214782353870968,-0.06943330623870968,0.35816743516129035,0.8616345397894283,0.8456217978405669,0.5676487598258394,0.18202388486999613,0.36003669711657854,0.6266436160100185,0.0649405653466387,0.2502878576271141,0.31240503690374133,0.9195769667844921,0.7534246875606343,0.42664257273506606,0.600030580151194,0.7916082465525599,0.25483438807711706,0.5002877748127712,0.5589320503457834,0.011702538,-0.007162571,0.24800998,1.0384489919293665,0.056194413,-0.060189277,0.25540495,0.6632957004450306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20-15-17,20-15,17,-1.2319438,-1.3946471,-0.40292358,0.11308660641779399,-2.1135492,-0.76368475,-0.43277687,0.1631851177263937,2.382659,1.480339,1.0716277,2.460956290035044,1.4786321,0.41613162,1.3598515,2.163329299185437,0.20235423851612905,-0.04657754190322582,0.25774852652903235,1.0808555004763745,-0.033926273258064514,-0.04505175278709678,0.29904775,0.8735212268358075,0.7688363247883115,0.5267550461066866,0.16289760787436905,0.3645014538848643,0.6959793026115377,0.06092447926560869,0.25290770145134295,0.3170347213386436,0.8768331225428881,0.7257789237134725,0.4036057579797011,0.6037395579924048,0.8342537399445913,0.24682884609706518,0.5028992955367336,0.5630583640606395,0.06167555,-0.09889746,0.21460915,1.0245902873189294,0.080829404,-0.02769772,0.21585579,0.6632957004450306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20-15-17,20-15,17,-1.2319438,-1.3946471,-0.40292358,0.11308660641779399,-2.1135492,-0.76368475,-0.43277687,0.1631851177263937,2.382659,1.480339,1.0716277,2.460956290035044,1.4786321,0.41613162,1.3598515,2.163329299185437,0.13059852141935485,-0.045295464677419364,0.22928698975483877,1.057595173745597,-0.06853124132258065,-0.042534558916129034,0.30883301799999996,0.9038138350258321,0.7534519813761783,0.5161284786708069,0.1616024093065049,0.3494612485802351,0.7465399017674204,0.06149247809381837,0.24171338098328166,0.3109166686855518,0.8680161181545988,0.7184208228265707,0.40199802152063496,0.5911524748998647,0.86402540574188,0.24797676926240161,0.4916435507390305,0.557599021417319,0.011702538,-0.11522436,0.12477255,1.0384489919293665,0.02010748,-0.02769772,0.20307223,0.7389201523782591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20-15-17,20-15,17,-1.2319438,-1.3946471,-0.40292358,0.11308660641779399,-2.1135492,-0.76368475,-0.43277687,0.1631851177263937,1.2402173,1.480339,1.0238506,1.8324146392346234,1.4786321,0.41613162,1.3598515,2.163329299185437,-0.05304263599999998,-0.03183169145161292,0.1667913416903226,0.9075897096869624,-0.03359981067741936,-0.03646064791612904,0.3236870383225806,0.9274709436070337,0.37765298899908295,0.5041258190310937,0.1544788374448013,0.21778226210094728,0.7721005796320533,0.06235846388092267,0.24071982413630633,0.2971091171049169,0.6145347744424907,0.710018182183452,0.39303795929248525,0.46667147127390085,0.8786925398750426,0.2497167673203437,0.4906320659479019,0.5450771661929317,-0.01230526,-0.11522436,0.053581,0.8700424669155131,0.056194413,-0.02769772,0.25540495,0.7443877004168457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.3946471,-0.40292358,0.11308660641779399,-2.1135492,-0.76368475,-0.43277687,0.1631851177263937,1.2402173,1.480339,0.80741787,1.8324146392346234,1.4786321,0.41613162,1.2669044,2.163329299185437,0.04814969141935486,-0.037122030161290336,0.15501954040000002,0.8413668734014702,0.007263776903225807,-0.04517632334516129,0.24464458348387097,0.8432688684713154,0.311219725159323,0.47289904467901483,0.11790239375298978,0.19917808641873574,0.7499923429146378,0.06024959532516021,0.133890396199634,0.27333599312512047,0.5578707064897054,0.687676555277999,0.3433691799695916,0.4462937221368185,0.86602098295286,0.24545792984778514,0.3659103663462324,0.5228154484377068,0.03364849,-0.1473875,0.06287432,0.7536224765404933,0.089484945,-0.029961476,0.25540495,0.6632957004450306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.3946471,-0.40292358,0.11308660641779399,-2.1135492,-0.39882055,-0.43277687,0.1631851177263937,0.7588799,1.234582,0.80741787,1.7033867400794982,1.4786321,0.41613162,0.66021776,2.163329299185437,0.014671265774193561,-0.11530427209677421,0.12098205421935487,0.7390729526768526,0.08449780548387097,0.005446759461290319,0.19542185025806452,0.7876684932335558,0.22187231604919286,0.37143481212077634,0.10392717786616569,0.16188306027958763,0.736117990509672,0.03281154923159716,0.0855515095243109,0.2602498929327856,0.47103324304043853,0.6094545201413936,0.3223773842349455,0.4023469401891701,0.8579731875237547,0.18113958493823806,0.29249189651050317,0.5101469326897747,0.06167555,-0.18506908,0.0609051,0.6479489956669914,0.21279307,-0.019042183,0.25540495,0.5737477348264282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.3946471,-0.40292358,0.11308660641779399,-1.8734578,-0.35540968,-0.43277687,0.1631851177263937,0.7588799,1.234582,0.80741787,1.573189235534379,1.2342796,0.307205,0.66021776,1.8814158831158798,0.06048449496774195,-0.19789921712903227,0.10767888744516131,0.6516716585046372,0.12136223774193548,0.012023250558064512,0.21531454993548388,0.7026876191537212,0.16701134268308737,0.2672849390221767,0.07966434067902634,0.13135993117850867,0.48607315990666866,0.022736809618077933,0.09440321869976431,0.1562591320504062,0.4086702126202586,0.5169960725403789,0.2822487213062733,0.36243610633946044,0.6971894720279909,0.1507872992598446,0.3072510678578096,0.39529625858387046,0.06578159,-0.18506908,0.06287432,0.5406002808091876,0.24062395,-0.0074570784,0.258734,0.5737477348264282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.0328345,-0.35985565,0.11308660641779399,-1.3402767,-0.35540968,-0.43277687,0.1631851177263937,0.5502248,1.234582,0.80741787,1.3429169919424542,1.2342796,0.307205,0.66021776,1.3967136723852551,-0.010424351096774184,-0.138778856,0.15045280925161292,0.5979934500941569,0.2456798111935484,0.03490995326774193,0.21696833851612907,0.6940595970330369,0.1298866674685678,0.22515612934759516,0.07580345348849292,0.10473464037681178,0.378562670418181,0.0256976733069042,0.0914698541923738,0.11022846840583342,0.3603979293344619,0.47450619526787546,0.2753242697048208,0.32362731710535775,0.6152744675493864,0.16030493849817665,0.3024398356572325,0.33200672945865634,0.03364849,-0.15586925,0.08219546,0.5304135201450565,0.33596802,0.029295666,0.2692538,0.6107919583741477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
