"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.827454850E-1,-6.801598072E-1,9.751948357E0,8.494520187E-1
1.849800430E-1,-6.855437160E-1,9.751948357E0,8.542376757E-1
1.872202770E-1,-6.855437160E-1,9.751948357E0,8.542376757E-1
1.894560560E-1,-6.610172391E-1,9.756135941E0,8.494520187E-1
1.916937260E-1,-6.610172391E-1,9.760921478E0,8.356932998E-1
1.939297500E-1,-6.610172391E-1,9.766305923E0,8.213363886E-1
1.961663830E-1,-6.466603279E-1,9.770493507E0,8.261220455E-1
1.984034440E-1,-6.323033571E-1,9.770493507E0,8.213363886E-1
2.006404430E-1,-6.317051649E-1,9.760921478E0,7.782655358E-1
2.028782970E-1,-6.167500615E-1,9.770493507E0,7.405785918E-1
2.051146250E-1,-6.317051649E-1,9.742377281E0,7.357929349E-1
2.073506480E-1,-6.029912829E-1,9.760921478E0,7.453642488E-1
2.095869160E-1,-5.970092416E-1,9.789635658E0,7.070791125E-1
2.118235490E-1,-6.065805554E-1,9.775279045E0,6.687939167E-1
2.140605480E-1,-5.874379873E-1,9.784850121E0,6.789634228E-1
2.162974260E-1,-5.778666735E-1,9.808777809E0,6.789634228E-1
2.185343030E-1,-5.623133183E-1,9.841679573E0,6.502495408E-1
2.207713630E-1,-5.485545993E-1,9.827322960E0,6.358926296E-1
2.230088510E-1,-5.335994363E-1,9.832108498E0,6.412764788E-1
2.252444470E-1,-5.335994363E-1,9.856036186E0,6.364908218E-1
2.274812630E-1,-5.240281820E-1,9.865009308E0,6.460621357E-1
2.297178360E-1,-5.234299302E-1,9.893723488E0,6.502495408E-1
2.319547740E-1,-5.335994363E-1,9.865608215E0,6.454638839E-1
2.341909800E-1,-5.527420044E-1,9.860821724E0,6.502495408E-1
2.364283460E-1,-5.240281820E-1,9.869794846E0,6.598208547E-1
2.386656510E-1,-5.335994363E-1,9.874580383E0,6.693921089E-1
2.409033210E-1,-5.335994363E-1,9.856036186E0,6.598208547E-1
2.431387950E-1,-5.629115105E-1,9.851250648E0,6.741777658E-1
2.453755510E-1,-5.772684813E-1,9.837491989E0,6.741777658E-1
2.476121230E-1,-5.820540786E-1,9.832706451E0,6.885347366E-1
2.498491830E-1,-5.826523304E-1,9.822537422E0,7.166503668E-1
2.520857560E-1,-5.922235847E-1,9.818349838E0,7.214360237E-1
2.543225720E-1,-5.832505226E-1,9.798608780E0,7.405785918E-1
2.565596930E-1,-5.880361795E-1,9.789037704E0,7.501499057E-1
2.587974870E-1,-5.832505226E-1,9.793823242E0,7.645068169E-1
2.610330820E-1,-5.886343718E-1,9.784252167E0,7.788637877E-1
2.632698990E-1,-5.790630579E-1,9.784252167E0,7.788637877E-1
2.655064100E-1,-5.982056856E-1,9.779465675E0,7.740781307E-1
2.677435320E-1,-5.934200287E-1,9.760323524E0,7.692924738E-1
2.699802260E-1,-6.029912829E-1,9.784252167E0,7.836494446E-1
2.722161880E-1,-6.029912829E-1,9.756135941E0,7.692924738E-1
2.744522720E-1,-6.125625968E-1,9.756135941E0,7.836494446E-1
2.766917130E-1,-6.173482537E-1,9.741779327E0,7.645068169E-1
2.789273690E-1,-5.988038778E-1,9.731609344E0,7.740781307E-1
2.811643080E-1,-6.077769399E-1,9.751350403E0,7.310073376E-1
2.834003920E-1,-6.173482537E-1,9.756135941E0,7.453642488E-1
2.856375740E-1,-5.982056856E-1,9.736993790E0,7.262216806E-1
2.878746350E-1,-6.029912829E-1,9.751350403E0,7.310073376E-1
2.901111460E-1,-5.928218365E-1,9.756135941E0,7.118647099E-1
2.923479630E-1,-5.880361795E-1,9.751350403E0,6.885347366E-1
2.945854510E-1,-5.635097623E-1,9.774680138E0,6.646065116E-1
2.968213510E-1,-5.587241054E-1,9.779465675E0,6.502495408E-1
2.990581680E-1,-5.437689424E-1,9.769894600E0,6.029912829E-1
3.012946180E-1,-5.294120312E-1,9.784252167E0,5.934200287E-1
3.035320450E-1,-5.102694035E-1,9.760323524E0,5.700899959E-1
3.057683730E-1,-5.096712112E-1,9.784252167E0,5.509474277E-1
3.080052500E-1,-4.809573591E-1,9.778867722E0,5.126622319E-1
3.102422500E-1,-4.468596280E-1,9.793225288E0,4.989035130E-1
3.124800430E-1,-4.660021961E-1,9.779465675E0,4.558327198E-1
3.147154550E-1,-4.325026870E-1,9.783653259E0,4.558327198E-1
3.169507460E-1,-4.372883439E-1,9.754940033E0,4.366901219E-1
3.191818250E-1,-4.468596280E-1,9.745966911E0,3.990031779E-1
3.214257210E-1,-4.618147612E-1,9.726823807E0,3.984049559E-1
3.236629040E-1,-4.564309120E-1,9.722038269E0,3.750749528E-1
3.259012460E-1,-4.666004181E-1,9.726823807E0,3.840480447E-1
3.281366590E-1,-4.803591371E-1,9.713065147E0,3.367897868E-1
3.303740250E-1,-4.660021961E-1,9.713065147E0,3.367897868E-1
3.326096810E-1,-4.857429862E-1,9.693922997E0,3.320041299E-1
3.348465590E-1,-4.809573591E-1,9.698708534E0,3.367897868E-1
3.370833140E-1,-4.905286431E-1,9.674779892E0,3.320041299E-1
3.393201920E-1,-4.713860750E-1,9.684351921E0,3.272185028E-1
3.415570080E-1,-5.000999570E-1,9.670592308E0,3.361915946E-1
3.437940070E-1,-4.953143001E-1,9.674779892E0,3.553341627E-1
3.460318000E-1,-5.144568682E-1,9.680164337E0,3.601198196E-1
3.482681290E-1,-5.246263742E-1,9.661021233E0,3.649054468E-1
3.505039690E-1,-5.246263742E-1,9.661021233E0,3.792623878E-1
3.527404800E-1,-5.150550604E-1,9.670592308E0,3.744767308E-1
3.549770520E-1,-5.389832854E-1,9.670592308E0,4.169493318E-1
3.572139290E-1,-5.300102234E-1,9.656235695E0,3.984049559E-1
3.594509900E-1,-5.395814776E-1,9.646664619E0,4.073780477E-1
3.616878670E-1,-5.204389095E-1,9.646066666E0,4.079762697E-1
3.639249890E-1,-5.156532526E-1,9.636494637E0,4.031906128E-1
3.661624160E-1,-5.060819983E-1,9.641280174E0,4.031906128E-1
3.683980120E-1,-4.863412082E-1,9.669994354E0,3.936193287E-1
3.706348890E-1,-4.582255483E-1,9.635896683E0,3.942175210E-1
3.728716440E-1,-4.289134443E-1,9.640682220E0,3.607180119E-1
3.751085220E-1,-4.432703853E-1,9.659825325E0,3.750749528E-1
3.773453380E-1,-4.235295951E-1,9.668798447E0,3.559323549E-1
3.795820940E-1,-4.522434771E-1,9.698110580E0,3.798605800E-1
3.818191540E-1,-4.474578202E-1,9.698110580E0,3.894318938E-1
3.840564590E-1,-4.713860750E-1,9.712467194E0,3.936193287E-1
3.862922990E-1,-4.953143001E-1,9.736993790E0,4.031906128E-1
3.885291150E-1,-5.240281820E-1,9.732208252E0,4.408775866E-1
3.907657480E-1,-5.144568682E-1,9.751350403E0,4.504488707E-1
3.930027480E-1,-5.383850932E-1,9.765707016E0,4.839483798E-1
3.952393200E-1,-5.479564071E-1,9.803992271E0,5.216353536E-1
3.974762590E-1,-5.718846321E-1,9.808777809E0,5.455635786E-1
3.997137460E-1,-5.670989752E-1,9.823135376E0,5.736792088E-1
4.019480600E-1,-6.047859192E-1,9.866804123E0,5.880361795E-1
4.041746230E-1,-6.000002623E-1,9.871589661E0,6.167500615E-1
4.064230970E-1,-6.191428304E-1,9.890732765E0,6.305087805E-1
4.086599750E-1,-6.382854581E-1,9.895518303E0,6.496513486E-1
4.109000870E-1,-6.334998012E-1,9.905089378E0,6.687939167E-1
4.131339120E-1,-6.340979934E-1,9.890732765E0,6.687939167E-1
4.153706680E-1,-6.293123364E-1,9.890732765E0,6.783652306E-1
4.176084610E-1,-6.293123364E-1,9.885947227E0,6.544370055E-1
4.198416150E-1,-6.149554253E-1,9.880562782E0,6.735795736E-1
4.220671400E-1,-6.005984545E-1,9.890133858E0,6.831508875E-1
4.243169570E-1,-5.958128572E-1,9.880562782E0,6.735795736E-1
4.265540180E-1,-5.814558864E-1,9.861420631E0,6.646065116E-1
4.287944960E-1,-5.718846321E-1,9.865608215E0,6.789634228E-1
4.310279550E-1,-5.916253924E-1,9.842277527E0,6.831508875E-1
4.332644670E-1,-5.766702294E-1,9.860821724E0,6.741777658E-1
4.355015880E-1,-5.581258535E-1,9.836894035E0,6.837490797E-1
4.377393200E-1,-5.676971674E-1,9.841679573E0,6.933203340E-1
4.399749770E-1,-5.682953596E-1,9.827322960E0,7.076773047E-1
4.422117930E-1,-5.539384484E-1,9.817750931E0,7.028916478E-1
4.444483050E-1,-5.300102234E-1,9.807581902E0,7.363911867E-1
4.466853650E-1,-5.353940725E-1,9.793225288E0,7.459624410E-1
4.489190070E-1,-5.401797295E-1,9.783653259E0,7.698906660E-1
4.511469740E-1,-5.258227587E-1,9.792626381E0,7.938188910E-1
4.533955700E-1,-5.114658475E-1,9.826126099E0,8.225327730E-1
4.556334240E-1,-5.072783828E-1,9.792028427E0,8.512466550E-1
4.578721940E-1,-4.929214716E-1,9.806385040E0,8.943174481E-1
4.601061410E-1,-4.833501875E-1,9.824930191E0,9.086744189E-1
4.623425920E-1,-5.030909777E-1,9.801599503E0,9.080761671E-1
4.645794080E-1,-4.983053207E-1,9.811170578E0,9.224331379E-1
4.668161630E-1,-5.030909777E-1,9.811170578E0,9.320043921E-1
4.690527360E-1,-5.222335458E-1,9.815957069E0,9.750752449E-1
4.712871720E-1,-5.078766346E-1,9.810572624E0,9.750752449E-1
4.735138560E-1,-5.078766346E-1,9.810572624E0,9.750752449E-1
4.757521370E-1,-5.030909777E-1,9.796216011E0,9.559326172E-1
4.780003670E-1,-5.222335458E-1,9.820742607E0,9.798609018E-1
4.802393810E-1,-5.276173949E-1,9.806385040E0,9.846464992E-1
4.824765640E-1,-5.228317380E-1,9.810572624E0,1.008574724E0
4.847105120E-1,-5.318048596E-1,9.825528145E0,9.984052777E-1
4.869475720E-1,-5.509474277E-1,9.820742607E0,9.792626500E-1
4.891851210E-1,-5.413761139E-1,9.839884758E0,9.649057388E-1
4.914216930E-1,-5.318048596E-1,9.825528145E0,9.511470199E-1
4.936575330E-1,-5.126622319E-1,9.820742607E0,9.367900491E-1
4.958941050E-1,-4.929214716E-1,9.815358162E0,9.134600163E-1
4.981306780E-1,-4.923232496E-1,9.854242325E0,8.799605370E-1
5.003677990E-1,-4.785645306E-1,9.824930191E0,8.656035662E-1
5.026047990E-1,-4.636093974E-1,9.824930191E0,8.321040869E-1
5.048414320E-1,-4.492524564E-1,9.815358162E0,7.848458290E-1
5.070784920E-1,-4.438686073E-1,9.839286804E0,8.087740541E-1
5.093130500E-1,-4.630111754E-1,9.859027863E0,7.800601721E-1
5.115402230E-1,-4.671986103E-1,9.887741089E0,7.609176040E-1
5.137888810E-1,-4.863412082E-1,9.878767967E0,7.459624410E-1
5.160220350E-1,-4.911268353E-1,9.869196892E0,7.555337548E-1
5.182531750E-1,-5.341976285E-1,9.874580383E0,7.411768436E-1
5.204985360E-1,-5.341976285E-1,9.860223770E0,7.363911867E-1
5.227313240E-1,-5.294120312E-1,9.860223770E0,7.220342159E-1
5.249581310E-1,-5.192425251E-1,9.888937950E0,7.172485590E-1
5.272103280E-1,-5.431707501E-1,9.884152412E0,7.124629617E-1
5.294458630E-1,-5.670989752E-1,9.894321442E0,7.166503668E-1
5.316870740E-1,-5.575276613E-1,9.893723488E0,7.357929349E-1
5.339192520E-1,-5.575276613E-1,9.894321442E0,7.214360237E-1
5.361563120E-1,-5.718846321E-1,9.899106979E0,7.214360237E-1
5.383929460E-1,-5.814558864E-1,9.879964828E0,7.214360237E-1
5.406299450E-1,-5.916253924E-1,9.884750366E0,7.357929349E-1
5.428668220E-1,-5.964110494E-1,9.889535904E0,7.453642488E-1
5.451046150E-1,-5.958128572E-1,9.899106979E0,7.310073376E-1
5.473400890E-1,-6.011967063E-1,9.870991707E0,7.357929349E-1
5.495767830E-1,-5.964110494E-1,9.884750366E0,7.453642488E-1
5.518118910E-1,-5.964110494E-1,9.860821724E0,7.501499057E-1
5.540439470E-1,-6.017948985E-1,9.856036186E0,7.740781307E-1
5.562869890E-1,-5.730810165E-1,9.851250648E0,7.549355626E-1
5.585242320E-1,-5.491527915E-1,9.850652695E0,7.692924738E-1
5.607636730E-1,-5.635097623E-1,9.845867157E0,7.597211599E-1
5.629986580E-1,-5.395814776E-1,9.821938515E0,7.507480979E-1
5.652341930E-1,-5.156532526E-1,9.806983948E0,7.411768436E-1
5.674707660E-1,-5.114658475E-1,9.783653259E0,7.226324677E-1
5.697046520E-1,-4.725824594E-1,9.783055305E0,7.130611539E-1
5.719329240E-1,-4.588237405E-1,9.768099785E0,7.040880919E-1
5.741812760E-1,-4.247260094E-1,9.768099785E0,6.801598072E-1
5.764182750E-1,-4.151547253E-1,9.758528709E0,6.562315822E-1
5.786580210E-1,-4.301098585E-1,9.739386559E0,6.466603279E-1
5.808901990E-1,-4.007977843E-1,9.744172096E0,6.329016089E-1
5.831184710E-1,-4.061816335E-1,9.734002113E0,6.616154313E-1
5.853653580E-1,-4.061816335E-1,9.738788605E0,6.664010882E-1
