"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.946392900E-2,-2.932153270E-2,-1.374446787E-2,-4.764748737E-2
2.170099000E-2,-3.787364438E-2,-1.237002108E-2,-4.153883830E-2
2.393701300E-2,-4.169155285E-2,-1.221730467E-2,-3.665191308E-2
2.617267000E-2,-4.291328415E-2,-1.221730467E-2,-3.298672289E-2
2.840851000E-2,-4.780020565E-2,-8.552113548E-3,-2.809980139E-2
3.064459400E-2,-4.902193695E-2,-4.886921961E-3,-2.199114859E-2
3.288165400E-2,-5.161811411E-2,-6.108652335E-3,-1.343903504E-2
3.511877600E-2,-5.528330430E-2,-3.512475174E-3,-8.552113548E-3
3.735583600E-2,-5.757404864E-2,2.596177394E-3,-7.330383174E-3
3.959240800E-2,-5.513058975E-2,4.886921961E-3,-0.000000000E0
4.182946900E-2,-5.253441259E-2,9.773843922E-3,3.665191587E-3
4.406689600E-2,-5.253441259E-2,1.588249579E-2,6.108652335E-3
4.630255300E-2,-5.115996301E-2,2.183843218E-2,7.483099122E-3
4.853936900E-2,-4.963280261E-2,3.161227703E-2,6.261368748E-3
5.077588000E-2,-5.085453019E-2,3.649919853E-2,1.527163113E-4
5.301275800E-2,-4.932736978E-2,4.612032697E-2,-1.069014193E-3
5.524957400E-2,-4.688390717E-2,4.963280261E-2,-9.162978968E-4
5.748669500E-2,-4.550946131E-2,5.085453019E-2,-4.581489135E-3
5.972479400E-2,-3.787364438E-2,6.047565863E-2,-9.468411095E-3
6.196130500E-2,-3.909537569E-2,6.291911751E-2,-1.435533352E-2
6.419690100E-2,-3.405573592E-2,6.398813426E-2,-1.908953860E-2
6.643341200E-2,-2.535090782E-2,6.383541971E-2,-2.519819140E-2
6.867016700E-2,-2.290744707E-2,6.872233748E-2,-3.008511290E-2
7.090704500E-2,-1.542434748E-2,7.208210230E-2,-3.359758854E-2
7.314386100E-2,-1.038470957E-2,7.086037099E-2,-3.970624134E-2
7.538073900E-2,-4.123340361E-3,7.315111160E-2,-4.337143153E-2
7.761810400E-2,7.635815418E-4,7.544185966E-2,-4.825835302E-2
7.985559200E-2,9.468411095E-3,7.406741381E-2,-5.299255997E-2
8.209118800E-2,1.679879427E-2,7.513642311E-2,-5.421429127E-2
8.432794300E-2,2.183843218E-2,7.864890248E-2,-5.406157300E-2
8.656274600E-2,2.932153270E-2,8.216137439E-2,-5.772676691E-2
