time,x,y,z
1754737015699,9.605757,-1.4541398,7.6767054
1754737015703,9.605757,-1.4541398,7.6767054
1754737015855,7.1408176,0.43070102,-4.014938
1754737015856,7.1408176,0.43070102,-4.014938
1754737016015,5.891247,3.246155,-6.4180384
1754737016016,5.891247,3.246155,-6.4180384
1754737016174,3.290203,3.2985096,-3.8350887
1754737016175,3.290203,3.2985096,-3.8350887
1754737016335,-0.16169071,2.4718065,-0.94769144
1754737016337,-0.16169071,2.4718065,-0.94769144
1754737016496,0.995734,1.847425,1.5950532
1754737016497,0.995734,1.847425,1.5950532
1754737016655,0.5103744,2.5079107,0.8083191
1754737016656,0.5103744,2.5079107,0.8083191
1754737016816,1.6076632,0.43993187,0.56747484
1754737016819,1.6076632,0.43993187,0.56747484
1754737016976,0.06393814,-1.1740294,1.3789284
1754737016977,0.06393814,-1.1740294,1.3789284
1754737017136,-1.6903455,-1.443305,1.132307
1754737017137,-1.6903455,-1.443305,1.132307
1754737017295,-3.0572534,0.32417202,-2.2004724
1754737017297,-3.0572534,0.32417202,-2.2004724
1754737017459,-0.38931704,0.24520493,-3.477615
1754737017461,-0.38931704,0.24520493,-3.477615
1754737017617,-0.6181245,1.3974566,-2.8764036
1754737017618,-0.6181245,1.3974566,-2.8764036
1754737017779,0.93878126,-0.27349377,-1.0023292
1754737017781,0.93878126,-0.27349377,-1.0023292
1754737017937,-0.32053947,-0.44073248,0.046120644
1754737017939,-0.32053947,-0.44073248,0.046120644
1754737018101,-1.2657776,-2.2803273,-0.4725783
1754737018102,-1.2657776,-2.2803273,-0.4725783
1754737018256,0.50705624,-2.8915896,-0.59683776
1754737018257,0.50705624,-2.8915896,-0.59683776
1754737018417,2.3450055,-3.1268086,0.6808286
1754737018418,2.3450055,-3.1268086,0.6808286
1754737018577,-0.10994053,-0.16918421,-1.2200062
1754737018578,-0.10994053,-0.16918421,-1.2200062
1754737018738,0.5089054,0.4273696,-0.52863073
1754737018740,0.5089054,0.4273696,-0.52863073
1754737018902,0.77989435,-1.1392035,0.7947302
1754737018903,0.77989435,-1.1392035,0.7947302
1754737019058,-1.6683109,-0.11030674,-1.5838814
1754737019060,-1.6683109,-0.11030674,-1.5838814
1754737019217,-1.2046218,-0.4430709,0.020351887
1754737019218,-1.2046218,-0.4430709,0.020351887
1754737019382,-0.15556288,-0.7046356,0.53357124
1754737019383,-0.15556288,-0.7046356,0.53357124
1754737019540,-0.17773676,0.14345503,1.4052987
1754737019542,-0.17773676,0.14345503,1.4052987
1754737019699,-0.6634731,-0.7891741,-0.20046616
1754737019700,-0.6634731,-0.7891741,-0.20046616
1754737019866,0.15052795,-0.47434855,-0.7920952
1754737019869,0.15052795,-0.47434855,-0.7920952
1754737020022,0.4265747,0.42830324,0.032209396
1754737020023,0.4265747,0.42830324,0.032209396
1754737020179,-0.4987855,0.14733028,0.2541275
1754737020181,-0.4987855,0.14733028,0.2541275
1754737020340,-0.84945583,-0.26473045,0.4153478
1754737020342,-0.84945583,-0.26473045,0.4153478
1754737020500,-0.1664257,-0.10634136,-0.07390356
1754737020502,-0.1664257,-0.10634136,-0.07390356
1754737020660,-0.46885633,-0.8707924,-0.63235235
1754737020662,-0.46885633,-0.8707924,-0.63235235
1754737020823,0.12280464,-0.14823246,-0.65366983
1754737020825,0.12280464,-0.14823246,-0.65366983
1754737020982,-0.10154915,-0.07009697,0.013912201
1754737020984,-0.10154915,-0.07009697,0.013912201
1754737021142,-0.17707682,-0.2530651,0.14328909
1754737021144,-0.17707682,-0.2530651,0.14328909
1754737021301,-0.13370752,-0.21432734,-0.10271263
1754737021302,-0.13370752,-0.21432734,-0.10271263
1754737021464,-0.14963531,0.2708907,-0.12060976
1754737021465,-0.14963531,0.2708907,-0.12060976
1754737021623,0.37177896,-0.00950098,0.29656172
1754737021625,0.37177896,-0.00950098,0.29656172
1754737021782,0.44632506,-0.6350136,0.28428364
1754737021783,0.44632506,-0.6350136,0.28428364
1754737021943,-0.085272074,0.4052806,-0.41051435
1754737021944,-0.085272074,0.4052806,-0.41051435
1754737022104,-0.32356,0.8330622,0.7592921
1754737022105,-0.32356,0.8330622,0.7592921
1754737022263,-0.14701593,0.30757904,0.53802824
1754737022265,-0.14701593,0.30757904,0.53802824
1754737022423,-0.29200077,-0.11679077,0.38584262
1754737022424,-0.29200077,-0.11679077,0.38584262
1754737022583,-0.56642115,-0.30060577,0.17851448
1754737022585,-0.56642115,-0.30060577,0.17851448
1754737022743,-0.3389622,-0.197196,-0.17108917
1754737022744,-0.3389622,-0.197196,-0.17108917
1754737022909,-0.15210068,-0.0021123886,-0.11747122
1754737022911,-0.15210068,-0.0021123886,-0.11747122
1754737023065,0.057907343,-0.2600994,-0.25456095
1754737023067,0.057907343,-0.2600994,-0.25456095
1754737023223,-0.088346004,-0.22212124,-0.5231261
1754737023224,-0.088346004,-0.22212124,-0.5231261
1754737023384,-4.6688318E-4,0.7650213,-0.17980814
1754737023385,-4.6688318E-4,0.7650213,-0.17980814
