"event","experiment time","system time","system time text"
"START",0.000000000E0,1758704757.545,"2025-09-24 18:05:57.545 UTC+09:00"
"PAUSE",6.939437532E1,1758704826.939,"2025-09-24 18:07:06.939 UTC+09:00"
