time,x,y,z
1754738153085,2.592706,1.3210502,-3.526867
1754738153247,18.304289,5.997781,-19.17285
1754738153405,38.18091,-9.542768,9.652052
1754738153565,9.080231,-8.532778,12.303081
1754738153725,4.1313534,0.019605577,1.1092956
1754738153884,-1.422821,1.9258268,-1.7758107
1754738154048,-2.1609607,0.8652859,-1.617858
1754738154209,-1.194232,1.2454119,-0.64136195
1754738154369,-0.44554424,0.7675309,-0.04736352
1754738154528,-0.72401905,0.9511039,0.29234484
1754738154686,-0.7014723,0.009795666,0.29955673
1754738154845,-0.05667305,-0.8576722,0.36040443
1754738155006,1.3605509,-0.97299767,0.9741537
1754738155169,1.7453556,0.2854643,1.0716277
1754738155315,2.382659,-0.5885744,-0.18116878
1754738155478,1.7575197,-0.9171214,0.24800998
1754738155647,0.15695953,-1.0885501,0.6481298
1754738155810,-0.9515462,-0.15616894,-0.34634715
1754738155966,-1.2319438,0.33765125,1.0238506
1754738156126,-0.5793679,-0.47827816,0.74264514
1754738156284,1.0799528,1.480339,-0.0064656734
1754738156445,1.2402173,0.6751957,0.41432548
1754738156611,0.66304135,0.9633808,-0.21502015
1754738156774,-0.9534857,1.1755171,0.7813776
1754738156927,-0.55549073,0.22921467,0.6291777
1754738157094,0.71900463,-1.3946471,-0.11364937
1754738157243,0.4246354,0.06243801,0.19868612
1754738157403,0.7588799,-0.11522436,-0.40292358
1754738157575,0.5502248,-0.33635902,0.06287432
1754738157724,0.062113762,-0.08349657,0.5176084
1754738157886,0.25190592,0.124206066,0.39198893
1754738158047,-0.08775759,1.234582,0.019267201
1754738158210,-0.8884616,-0.5372529,-0.019277334
1754738158371,0.06167555,-0.007162571,0.5370228
1754738158535,-0.1521306,-0.18506908,0.21460915
1754738158692,-0.103649616,0.13764954,-0.10901213
1754738158854,0.011702538,-0.09889746,0.053581
1754738159015,-0.23153925,-0.7340498,0.39259624
1754738159178,0.22263956,-0.1473875,-0.0037605762
1754738159326,-0.01230526,1.1854444,-0.034449935
1754738159496,-0.67023325,-0.64587307,-0.15921402
1754738159655,-0.29112768,-1.0328345,0.80741787
1754738159817,-0.3706422,-0.29274273,0.12477255
1754738159975,-0.9602518,-0.45555258,-0.1803832
1754738160130,-0.1241436,0.3955164,-0.08575344
1754738160296,0.28315353,-0.56548977,-0.35985565
1754738160451,0.03364849,-0.63288116,-0.3532871
1754738160613,0.24704218,-0.44533777,0.14826643
1754738160774,0.48491383,-0.26957226,0.5100355
1754738160940,0.37847567,-0.35615826,0.30240548
1754738161086,0.5273433,-0.14965725,0.0609051
1754738161259,0.06578159,-0.27491903,0.08219546
1754738161418,0.109846115,-0.32181668,-0.047757685
1754738161580,0.118468285,-0.15586925,0.153393
1754738161740,0.2405901,-0.104735136,0.24912028
1754738161898,0.21521664,0.06827366,0.3806237
1754738162058,-0.19709873,0.15883183,0.51254714
1754738162220,-0.10264397,-0.010136485,0.41466254
1754738162383,0.004088402,0.2366024,0.080895066
1754738162539,-0.10743904,0.4240833,0.024421692
1754738162700,-0.27767563,0.20240724,-0.07325947
1754738162856,0.012473106,-0.14090443,-0.17127597
1754738163017,-0.12988281,-0.33013844,-0.4573285
1754738163178,-0.08077431,-0.3242302,-0.66116935
1754738163336,0.36229944,-0.37674475,-0.7686587
1754738163502,0.5923066,1.0474644,-1.9122717
1754738163658,2.7019095,3.5265164,-5.4231
1754738163826,6.4493985,5.4759607,-9.714062
1754738163984,10.937067,-6.680995,1.438624
1754738164138,2.780974,-1.354269,1.3428441
1754738164303,1.4803389,-3.4352636,2.5100214
1754738164461,0.44801497,1.1826849,0.5304035
1754738164623,0.3038631,0.57062244,0.7675388
1754738164784,0.6834382,-0.573369,1.8444041
1754738164939,0.43376112,1.8041964,-0.3387537
1754738165105,-0.2857778,-0.06505585,-1.5996037
1754738165267,-0.34978986,0.21188927,-0.20735884
1754738165423,-0.5501003,-0.30528927,0.49299884
1754738165586,-0.18685174,-0.111569405,0.25155473
1754738165746,-0.22671986,0.01307869,0.30613756
1754738165905,0.07666969,-0.30008984,0.097503066
1754738166065,0.36733508,-0.007899284,0.5176966
1754738166225,0.104525566,-0.20209026,0.3371966
1754738166385,0.027999401,-0.012804985,0.23679662
