"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.243388500E-2,-4.061816335E-1,9.509077072E0,1.210768223E0
1.462441000E-2,-3.924229145E-1,9.474979401E0,1.244267821E0
1.681529400E-2,-3.583251834E-1,9.484550476E0,1.220339537E0
1.904547400E-2,-2.721835673E-1,9.521040916E0,1.255035520E0
2.127716400E-2,-2.141576260E-1,9.572486877E0,1.322034478E0
2.352081600E-2,-1.226321608E-1,9.647262573E0,1.399203062E0
2.575848700E-2,-1.734796353E-2,9.716654778E0,1.499701619E0
2.800024700E-2,7.357929647E-2,9.791430473E0,1.658226132E0
3.023151000E-2,1.166501045E-1,9.852447510E0,1.777269006E0
3.246667800E-2,1.645065546E-1,9.922437668E0,1.920838356E0
3.470245700E-2,1.639083475E-1,9.931410789E0,2.030309916E0
3.693982300E-2,1.154536903E-1,9.927223206E0,2.096710920E0
3.917670000E-2,7.597211748E-2,9.884750366E0,2.139781713E0
4.141290600E-2,4.127619043E-2,9.827322960E0,2.167897224E0
4.364917300E-2,1.674975827E-2,9.760921478E0,2.172683001E0
4.588586800E-2,1.196411322E-3,9.713663101E0,2.163111687E0
4.812390500E-2,-4.187439568E-3,9.580264091E0,2.020140409E0
5.035998900E-2,7.178467698E-3,9.363115311E0,1.433898926E0
5.259540100E-2,-4.666004330E-2,9.216554642E0,1.257428288E0
5.482861700E-2,-1.004985496E-1,8.998209953E0,1.033101201E0
5.705621700E-2,-1.190429255E-1,9.013164520E0,9.661021233E-1
5.930475200E-2,-6.520441920E-2,9.089137077E0,9.475577474E-1
6.154108000E-2,-2.093719877E-2,9.160323143E0,9.619147182E-1
6.378088700E-2,1.794617064E-2,9.250054359E0,1.048056364E0
6.601398000E-2,6.699903309E-2,9.349356651E0,1.110269666E0
6.824579200E-2,9.032905847E-2,9.381659508E0,1.220339537E0
7.048743000E-2,6.161518395E-2,9.434301376E0,1.296311617E0
7.272253700E-2,3.230310604E-2,9.443872452E0,1.415354609E0
7.495764500E-2,-1.794616925E-3,9.439684868E0,1.462612867E0
7.719665900E-2,-8.434699476E-2,9.406784058E0,1.552343726E0
7.943347500E-2,-1.663011760E-1,9.374481201E0,1.590030670E0
8.166815500E-2,-2.392822653E-1,9.351150513E0,1.636690736E0
8.389587700E-2,-2.829512656E-1,9.308678627E0,1.683948994E0
8.614264300E-2,-3.320041299E-1,9.275776863E0,1.712662816E0
8.837921500E-2,-3.565305769E-1,9.256634712E0,1.750349760E0
9.061816700E-2,-3.810569942E-1,9.238089561E0,1.811964989E0
9.285217600E-2,-3.906283081E-1,9.247661591E0,1.845464468E0
9.508868800E-2,-3.619144261E-1,9.266205788E0,1.864607096E0
9.732507700E-2,-3.188436031E-1,9.274580956E0,1.898704767E0
9.956189300E-2,-2.997010350E-1,9.293125153E0,1.946561217E0
1.017962680E-1,-2.709871531E-1,9.302696228E0,1.965703845E0
1.040202060E-1,-2.231307179E-1,9.320642471E0,1.971087694E0
1.062595860E-1,-1.992024779E-1,9.329615593E0,2.023729801E0
1.085072670E-1,-1.848455518E-1,9.334401131E0,2.014158487E0
1.107473780E-1,-1.752742529E-1,9.348757744E0,2.014158487E0
1.129834010E-1,-1.513460279E-1,9.329017639E0,2.018944025E0
1.152169830E-1,-1.369891018E-1,9.319445610E0,2.029113531E0
1.174539220E-1,-1.226321608E-1,9.328418732E0,2.038684845E0
1.196915930E-1,-1.130608693E-1,9.333204269E0,2.009970903E0
1.219277990E-1,-8.434699476E-2,9.342177391E0,2.009970903E0
1.241596100E-1,-9.810572863E-2,9.333204269E0,1.957328916E0
1.263869670E-1,-1.357926875E-1,9.357730865E0,1.933400750E0
1.286355020E-1,-1.310070455E-1,9.362516403E0,1.933400750E0
1.308725010E-1,-1.447657645E-1,9.387042999E0,1.895115495E0
1.331120640E-1,-1.304088384E-1,9.372686386E0,1.866401672E0
1.353458900E-1,-1.351944804E-1,9.372686386E0,1.852044702E0
1.375844150E-1,-1.298106313E-1,9.387042999E0,1.819143414E0
1.398235510E-1,-1.435693651E-1,9.430712700E0,1.794616938E0
1.420547520E-1,-1.525424421E-1,9.430712700E0,1.775474429E0
1.442911410E-1,-1.375873089E-1,9.459425926E0,1.752144337E0
1.465269200E-1,-1.621137410E-1,9.454640388E0,1.746760488E0
1.487645300E-1,-1.567298770E-1,9.483354568E0,1.723430514E0
1.510008580E-1,-1.704886109E-1,9.488738060E0,1.708475351E0
1.532376130E-1,-1.986042857E-1,9.498908043E0,1.660618901E0
1.554719270E-1,-1.986042857E-1,9.522835732E0,1.660618901E0
1.576983070E-1,-2.321037948E-1,9.518648148E0,1.651047587E0
1.599466590E-1,-2.362912297E-1,9.542576790E0,1.631905079E0
1.621831700E-1,-2.261217386E-1,9.561718941E0,1.603191137E0
1.644228550E-1,-2.500499785E-1,9.586245537E0,1.593619823E0
1.666553380E-1,-2.644068897E-1,9.581459999E0,1.602592945E0
1.688874550E-1,-2.739782035E-1,9.576674461E0,1.602592945E0
1.711292760E-1,-2.835494876E-1,9.591031075E0,1.597807288E0
1.733667030E-1,-2.542374134E-1,9.586245537E0,1.579262972E0
1.756035190E-1,-2.685943544E-1,9.629316330E0,1.612164259E0
1.778390540E-1,-2.685943544E-1,9.624530792E0,1.616949916E0
1.800750770E-1,-2.350948304E-1,9.643074989E0,1.650449395E0
1.823118930E-1,-2.446661144E-1,9.657432556E0,1.655235052E0
1.845452300E-1,-2.440679073E-1,9.676574707E0,1.650449395E0
1.867730140E-1,-2.249253243E-1,9.695118904E0,1.683948994E0
1.890213660E-1,-2.249253243E-1,9.704689980E0,1.698305845E0
1.912592200E-1,-2.297109663E-1,9.733404160E0,1.727019787E0
1.934983550E-1,-2.207378894E-1,9.723235130E0,1.774876237E0
1.957305940E-1,-2.159522474E-1,9.732806206E0,1.822134495E0
1.979668620E-1,-2.159522474E-1,9.742377281E0,1.841277003E0
2.002034340E-1,-2.111666054E-1,9.746564865E0,1.879562140E0
