time,x,y,z
1754735988277,-0.19309100,-0.08087300,0.01185900
1754735988428,-0.033705000,0.16634700,0.20928600
1754735988598,0.17262600,1.013897,1.0641000
1754735988756,4.136759,0.473248,-7.31723
1754735988916,17.431204,0.4308740,-22.028522
1754735989078,18.330688,-3.765373,4.901792
1754735989235,4.1948000,-3.0946720,11.223718
1754735989397,7.274023,-1.2610110,3.511855
1754735989558,8.935752,-0.9158210,-4.3620710
1754735989722,5.8441490,1.2543030,-5.0840620
1754735989875,2.614217,2.2716940,-2.896998
1754735990035,0.54795900,1.9370490,-2.1529430
1754735990202,0.14106500,0.8086850,-1.8363280
1754735990364,-0.56539700,0.0075700000,-0.8449220
1754735990516,-2.2317430,-0.94584800,0.3988250
1754735990684,-0.6146280,0.043121000,0.32146300
1754735990839,2.6143970,0.15291900,0.686062
1754735990999,1.8345800,-0.8146600,0.50448600
1754735991158,2.41013,-2.1215030,1.4871490
1754735991319,1.5882720,-1.5082130,1.0027850
1754735991478,1.0939450,-0.7972040,0.07992600
1754735991639,1.1986610,-0.18087300,-0.6506750
1754735991796,0.5126330,1.2111390,-1.3784110
1754735991957,0.119745000,-0.2971060,-0.7057790
1754735992125,0.41284800,-0.41368000,-1.0450560
1754735992281,0.41759200,0.8868370,-1.1284150
1754735992438,0.6291830,0.59917400,-0.6090400
1754735992608,0.45844400,-0.18646500,-0.46819000
1754735992762,-0.6914810,-0.12470000,0.14054000
1754735992919,0.07530000,1.333837,0.121921000
1754735993082,0.9555690,0.6687950,0.32971800
1754735993242,0.70559200,-0.37520700,0.39397700
1754735993403,0.20644300,0.23340100,-0.5903780
1754735993563,-0.26816100,0.42670300,-0.5421360
1754735993727,-0.82097900,0.4013070,-0.36190300
1754735993884,-0.0059390000,0.026727000,0.44376900
1754735994046,-0.8993250,-0.2171090,-0.0028670000
1754735994201,0.026532000,0.40805000,1.0027100
1754735994361,-0.31452700,-0.13632800,0.9780590
1754735994533,-0.19847200,0.5756460,0.88689200
1754735994679,-0.4746760,0.22131500,0.17891300
1754735994833,-0.45931500,0.063169000,0.3367880
1754735995000,-0.7225990,-0.097754000,0.37754000
1754735995161,-0.26608800,-0.22133600,0.91447400
1754735995326,0.82589400,-0.44911100,0.036029000
1754735995489,3.2618790,1.9962970,-0.8031770
1754735995648,0.6083810,0.85167300,-0.6687820
1754735995807,0.11141800,-2.0965070,-1.2303580
1754735995966,-0.70060600,-3.9498610,-1.4358830
1754735996116,-0.37487500,-1.5797170,-0.3545290
1754735996282,-0.446105,0.7660150,0.60870200
1754735996444,0.01365800,0.4281560,0.7224060
1754735996606,1.1986420,-0.009232000,0.7336350
1754735996769,2.6205200,-0.53900300,0.5093780
1754735996931,2.0133490,-0.8905500,0.5205510
1754735997084,-0.069094000,0.3295770,0.5319610
1754735997244,-2.2230800,0.4001790,0.59796
1754735997411,-2.8452800,-0.016137000,-0.1598110
1754735997567,1.0852340,-1.481683,0.24377800
1754735997725,0.43859600,0.68832500,0.3040050
1754735997892,0.48100700,2.231556,-0.44655600
1754735998046,-1.8369860,1.430254,0.09436100
1754735998215,-2.926012,1.9997540,-0.040479000
1754735998362,1.8552440,0.8674130,-0.83833500
1754735998527,1.2102090,-0.67093800,0.46143500
1754735998702,2.6479520,-0.07104600,0.8580280
1754735998861,-0.35076300,0.5807690,1.0365090
1754735999019,-0.22217000,-0.8308980,-0.33805800
1754735999178,1.0594870,-0.009599000,0.1317870
1754735999341,0.57922600,0.5084470,-0.586833
1754735999498,0.9774010,0.037626000,-0.13781700
1754735999659,-1.0996040,0.44346800,0.021761000
1754735999822,-0.5501580,-0.17499700,0.65381600
1754735999983,-0.6422470,-0.9123820,0.9052930
1754736000148,-1.1365820,1.7625940,0.7106430
1754736000296,-1.6745,1.4229590,0.09837900
1754736000457,0.6062760,0.30353000,0.963233
1754736000617,0.95197100,-2.0570170,0.012258000
1754736000778,6.7034680,-3.5160100,0.07923400
1754736000943,0.43393400,2.1924160,5.812328
1754736001103,0.2824150,-2.9510740,3.5015690
1754736001260,1.0117180,0.6797660,0.89248000
1754736001421,0.40684400,-0.16251300,0.35405000
1754736001579,1.0272710,-0.598516,0.754848
1754736001745,3.3701300,0.1267070,1.3705200
1754736001893,0.40869300,0.021373000,-4.481756
