time,x,y,z
1754735988281,0.12703666,0.037418555,-0.02823037
1754735988430,0.11105721,0.08855281,-0.018642696
1754735988602,0.37871307,0.55382127,-0.30094638
1754735988760,-0.09827364,1.4606552,-1.3416083
1754735988922,-1.4559946,-9.573424,-6.760241
1754735989082,-1.1987253,-4.8951726,-0.79950535
1754735989241,-0.50188804,0.05046844,-0.14181766
1754735989401,-0.64770055,3.6414514,1.9913063
1754735989564,0.10466542,4.624321,3.2933655
1754735989714,-0.40547866,3.228116,3.1741853
1754735989881,-0.8319969,0.6612831,2.386265
1754735990041,-1.0465211,-0.46446946,0.6000285
1754735990205,-1.476901,-1.3591857,-0.98113847
1754735990354,-2.2364578,-1.719256,-1.320835
1754735990522,-1.7665286,-1.2240262,-1.497408
1754735990674,-0.52812093,-0.32611403,-1.4452084
1754735990845,0.8742093,0.28363532,-1.0178912
1754735991003,0.97141767,0.23330003,-0.11651685
1754735991164,0.2643268,0.2544728,0.63038945
1754735991323,0.3603367,0.8471774,1.4140486
1754735991483,0.41013932,1.0855376,1.5899557
1754735991645,0.30747133,0.8038997,0.89644736
1754735991802,0.1550007,0.5614115,0.36153516
1754735991962,0.22757407,0.3645979,0.36579633
1754735992115,0.20160745,0.5315832,0.4857754
1754735992287,0.03715223,0.48910445,0.20067531
1754735992445,-0.08921862,0.42678457,-0.04660674
1754735992598,-0.34688732,0.5468968,-0.063252
1754735992766,0.030760448,0.25327435,0.096675694
1754735992925,-0.32917675,0.18070099,-0.06977695
1754735993086,-0.60136014,0.2615304,-0.092414506
1754735993249,-0.4235887,0.114785746,0.045541443
1754735993409,-0.29362246,-0.1307652,0.035554286
1754735993570,-0.20293906,-0.41147095,-0.14221714
1754735993718,-0.7635516,-0.26206306,-0.37165546
1754735993891,-0.07829932,0.026765585,-0.15180482
1754735994050,0.0027964045,0.075769246,-0.49709418
1754735994207,-0.19747943,0.14980738,-0.5002901
1754735994367,-0.345822,0.28882864,-0.60136014
1754735994522,-0.20973033,0.36686164,-0.6506301
1754735994675,-0.1697817,0.3929614,-0.8650211
1754735994835,-0.3335711,0.24634992,-1.0664954
1754735995006,0.14647833,-0.1725781,-1.043991
1754735995166,-0.3125315,0.09800732,-1.2357445
1754735995330,1.0815427,-0.034089502,-1.124554
1754735995496,0.31745848,0.16338992,-1.01363
1754735995655,-0.48777282,0.32345077,-1.4795643
1754735995814,-0.60269177,0.71308315,-2.1440432
1754735995971,-0.2739145,0.4675322,-1.2573167
1754735996118,-0.4456936,-0.18216577,-0.1719123
1754735996288,0.034089502,-0.2823037,-0.010386645
1754735996451,0.26406047,-0.1648547,-0.28097206
1754735996610,0.066847384,0.093479805,-0.24102344
1754735996775,-0.022903884,0.18389688,-0.0664479
1754735996935,-0.3331716,0.4488895,0.06671422
1754735997091,-0.7362533,0.44862318,0.38324058
1754735997251,-1.0511818,0.49376512,0.4347743
1754735997417,-1.0598373,0.13542587,0.1191801
1754735997569,0.2805726,-0.4362391,0.44169873
1754735997731,0.5784562,0.25860083,1.0052408
1754735997896,-0.24435249,0.67672986,0.595501
1754735998049,-0.59030765,1.3623816,-0.2829695
1754735998221,0.99671847,0.8390545,0.11824796
1754735998363,1.5036666,0.78499067,0.047538877
