"event","experiment time","system time","system time text"
"START",0.000000000E0,1758704527.202,"2025-09-24 18:02:07.202 UTC+09:00"
"PAUSE",1.746724479E2,1758704701.874,"2025-09-24 18:05:01.874 UTC+09:00"
