time,x,y,z
1754735690086,3.3552427,-1.8917532,-1.0420094
1754735690240,7.3053904,0.07264686,-2.0392869
1754735690402,24.517742,8.738349,-18.278471
1754735690561,44.816135,-26.619415,-0.4185417
1754735690721,5.928726,-10.70871,12.558186
1754735690881,3.2327232,-0.08892918,-0.052544236
1754735691038,4.8977976,0.6380558,-1.7862315
1754735691202,2.0896196,3.7403502,-2.8055465
1754735691361,0.6102944,3.1909728,-2.395136
1754735691522,-1.2393969,1.2276721,-0.3803892
1754735691683,-0.85783243,-0.9022398,0.065331936
1754735691843,-0.030379772,0.17742491,-0.046941996
1754735692003,-1.190187,-0.25824928,-0.26417792
1754735692163,0.41778564,-0.7660861,0.72086346
1754735692324,1.1944704,0.013105869,0.46266901
1754735692480,3.0932846,0.3616333,-0.020501137
1754735692644,1.5729866,-1.1623034,0.90510416
1754735692817,1.247325,-1.1777315,0.27869272
1754735692962,-0.28414774,-0.19989014,-0.16745186
1754735693131,0.17551851,-0.05703354,-0.9802594
1754735693283,0.29098028,-0.2690525,-1.5164788
1754735693445,0.86710787,-0.24900436,-0.06436491
1754735693607,1.5041044,0.9928088,0.6381948
1754735693764,1.2186346,0.2469778,1.4187247
1754735693926,1.0349045,1.6181273,0.48964095
1754735694091,-0.71283865,0.15564156,0.5752611
1754735694249,0.83926964,-1.4781103,1.2718155
1754735694406,-0.23315239,0.28889847,0.121729374
1754735694571,-0.57510614,0.78558874,0.24818969
1754735694730,-0.41779375,0.6249819,-0.9650325
1754735694887,-0.87656426,0.6094971,-0.6382559
1754735695042,-0.70813227,-0.8180189,-0.48340458
1754735695206,0.3297267,-0.1231308,0.31640244
1754735695368,0.42760885,-0.21168327,0.35758948
1754735695525,0.26109076,0.051145554,-0.05062592
1754735695687,0.50396085,-0.177804,-0.16701484
1754735695849,0.042191744,-0.1863389,-0.77448654
1754735696012,0.50019455,-0.6993985,-0.41408205
1754735696169,0.13470697,1.2131718,-0.24034214
1754735696330,-2.0155034,3.3890715,1.5079379
1754735696487,1.8017697,0.83770704,1.0310496
1754735696640,1.3691599,0.04527664,0.038797498
1754735696817,-0.35727215,-1.3709888,-1.1295811
1754735696971,-0.35596657,-1.4239779,0.17884189
1754735697132,0.22585535,1.4110069,-0.5619595
1754735697290,0.43386078,0.7555189,-0.18062246
1754735697450,-0.09828615,-0.55226135,-0.2960462
1754735697606,-0.5199022,-0.5750923,0.42722976
1754735697770,0.15200281,-0.009559631,0.4281106
1754735697933,0.06469059,-1.1126661,0.37685633
1754735698092,-0.2625928,-0.64231825,0.86940086
1754735698258,-0.0029644966,-0.30065012,0.31683147
1754735698409,-0.15228415,-0.4585514,-0.15377283
1754735698573,0.24518299,-0.6175909,-0.33366197
1754735698730,0.44936132,-0.270741,0.27787307
1754735698894,0.39962196,-0.084364414,-0.083325095
1754735699054,0.2125473,-0.15419722,-0.29085097
1754735699212,0.1414032,-0.27490807,-0.108628094
1754735699371,0.25745964,-0.009981632,0.127541
1754735699537,0.04749489,0.35152245,0.22390053
1754735699698,-0.07693291,0.32788038,0.35940903
1754735699862,-0.38907242,0.4193039,0.40396497
1754735700023,-0.055698395,0.24811888,0.35520014
1754735700173,0.3021326,0.12916088,0.33558995
1754735700334,0.24241829,-0.14148808,0.4617356
1754735700495,0.43283176,-0.1383586,0.6182714
1754735700663,0.26596355,-0.2631197,0.83755493
1754735700819,0.06558609,-0.19598007,0.9028491
1754735700977,-0.19275379,0.07389593,0.8219913
1754735701134,-0.276227,0.06689215,0.4792782
1754735701298,-0.04720974,0.5011473,-0.024143219
1754735701457,-0.5374861,-0.08566809,0.13517976
1754735701623,-0.25718594,0.32356262,0.0061774254
1754735701776,-0.02827835,0.2154746,0.12664366
1754735701943,-0.3759117,-0.22346187,0.1559658
1754735702095,0.07269001,-0.67817926,0.20284462
1754735702256,-0.21288681,-0.404716,-0.06483674
1754735702420,0.25371456,0.03910327,0.48387074
1754735702579,-0.056052208,-0.004451871,0.40315056
1754735702738,-0.75004673,-0.11091393,-0.13827991
1754735702897,-0.31864452,-0.21603689,-0.8372112
1754735703059,-0.19491863,-0.45376694,-0.3190504
1754735703220,-0.09494305,-0.3025601,-0.4369419
1754735703380,0.80364895,-0.87287307,-0.37403324
1754735703537,1.4313884,-0.15428638,-0.8499255
1754735703699,2.3426266,1.3235836,-1.8445733
1754735703859,3.4777172,5.631188,-5.484959
1754735704024,7.066427,2.172337,-3.0885348
1754735704190,3.6278164,-7.514822,2.6501188
1754735704346,2.0950823,-3.846737,1.8448771
1754735704501,0.9790894,0.053715706,0.48913455
1754735704662,0.7860286,-0.054047585,-0.29699087
1754735704835,0.0555408,0.44370365,0.9088311
1754735704981,0.65420413,-0.04919243,-0.1651802
1754735705144,-0.5478165,0.32772636,-1.5867565
1754735705298,0.16980648,-0.97636795,-0.8077235
1754735705458,0.22229862,-1.3404789,-1.56641E-4
1754735705623,-0.026641607,-0.35664463,-0.3892367
1754735705783,0.009384155,0.030290604,-0.352813
1754735705943,0.16048527,-0.3193903,-0.2289691
1754735706102,0.4213245,-0.12259674,-0.042023182
1754735706255,0.24385142,0.045716286,0.14901924
1754735706432,0.29580784,-0.16442204,-0.0064401627
1754735706581,0.20501828,0.1785965,-0.11571741
1754735706750,0.1572628,-0.035881996,-0.11812115
1754735706904,0.26176906,-0.18995619,-0.12581158
1754735707064,0.15083528,-0.12188387,-0.100324154
1754735707235,0.11286783,-0.0086045265,-0.017635345
1754735707385,0.19796562,-0.10151243,0.065814495
1754735707543,0.28966427,-0.008111477,-0.104599
1754735707706,0.26704574,-0.13647985,-0.1531167
1754735707866,0.21695137,-0.13353586,0.035059452
1754735708030,0.23498392,-0.14780712,-0.06791258
1754735708187,0.2399447,-0.12535524,-0.1404829
1754735708347,0.28076792,-0.09565592,0.014606953
1754735708506,0.3702283,-0.24090147,0.0064229965
1754735708667,0.5202849,-0.26403093,-0.17824316
1754735708832,0.5571172,-0.10337973,-0.5852089
1754735708983,-0.051475048,-0.0023326874,-0.18024874
1754735709141,0.020221472,-0.21394825,-0.12962437
1754735709298,0.070760965,-0.14825106,-0.30023384
1754735709467,0.44566393,-0.36459208,-0.5821233
1754735709633,0.0096821785,1.2013221,-0.60176754
1754735709786,0.9074459,-1.8325815,-0.4519043
1754735709949,-0.11227369,-0.8470993,-0.5966277
1754735710098,0.99624944,1.8151717,0.84214187
1754735710270,0.5119772,0.3211193,1.0506467
1754735710431,-1.0918193,-0.2756834,1.0379193
1754735710588,1.0603685,-0.66713905,0.15140629
1754735710751,-0.046491146,1.1509957,-2.7557228
1754735710911,-2.1739035,-0.24598026,-0.5954299
1754735711071,-1.0768361,0.5880704,-0.5567007
1754735711231,-1.4658747,-0.45649242,0.41779423
1754735711393,-0.71358776,1.3536878,-1.7031989
1754735711554,1.7573661,-0.9745159,0.15135574
1754735711713,0.07563329,-1.9807549,-0.074380875
1754735711874,-3.1291137,2.0556922,1.1834068
1754735712034,-1.4294584,0.61368215,-1.8184814
1754735712193,0.0859077,-0.042333603,-2.3070927
1754735712353,0.3214804,-1.7298927,-0.122499466
1754735712512,-2.0300283,-0.14103937,3.2009754
1754735712673,-2.1242661,2.1689653,-1.4579315
1754735712845,0.2264924,1.9373722,-0.6063504
1754735712990,1.5162163,-1.055068,0.0056200027
1754735713154,-1.4154271,-0.31170845,2.4949064
1754735713316,-2.407231,1.9564648,-1.2504663
1754735713478,-0.995244,1.8220592,-1.4195561
1754735713633,1.1130259,-0.9118581,-0.6150856
1754735713803,-0.9660455,-0.52536345,0.9201546
1754735713953,-1.8492777,0.59050655,0.96629906
1754735714117,-1.3717694,1.263083,-0.6201649
1754735714275,-0.7490318,0.36068106,-0.42400503
1754735714437,-0.6792731,0.34853888,0.17180824
1754735714596,-0.8536279,0.38061857,-0.491848
1754735714753,-1.0518179,0.008561134,-0.3300743
1754735714915,-0.9385867,0.048663616,-0.47272968
1754735715077,-0.83876824,0.05139017,-0.63351965
1754735715243,-0.8373909,0.039760113,-0.5954523
